datetime,Foreign oil,Foreign oil_1,Foreign oil_2,Foreign oil_3,Foreign oil_4,Foreign oil_5,Foreign oil_6,Foreign oil_7,Foreign oil_8,Foreign oil_9,Foreign oil_10,korea oil
2015-03-23,0.452287829,0.494890235,0.542013626,0.529838506,0.540688872,0.506560686,0.513815291,0.348725713,0.359891496,0.368786273,0.409159727,0.501835145
2015-03-30,0.520312894,0.452287829,0.494890235,0.542013626,0.529838506,0.540688872,0.506560686,0.513815291,0.348725713,0.359891496,0.368786273,0.490000714
2015-04-06,0.501450921,0.520312894,0.452287829,0.494890235,0.542013626,0.529838506,0.540688872,0.506560686,0.513815291,0.348725713,0.359891496,0.485187918
2015-04-13,0.526347885,0.501450921,0.520312894,0.452287829,0.494890235,0.542013626,0.529838506,0.540688872,0.506560686,0.513815291,0.348725713,0.477395092
2015-04-20,0.607241988,0.526347885,0.501450921,0.520312894,0.452287829,0.494890235,0.542013626,0.529838506,0.540688872,0.506560686,0.513815291,0.470849498
2015-04-27,0.590903356,0.607241988,0.526347885,0.501450921,0.520312894,0.452287829,0.494890235,0.542013626,0.529838506,0.540688872,0.506560686,0.477361768
2015-05-04,0.611657835,0.590903356,0.607241988,0.526347885,0.501450921,0.520312894,0.452287829,0.494890235,0.542013626,0.529838506,0.540688872,0.489786494
2015-05-11,0.701236437,0.611657835,0.590903356,0.607241988,0.526347885,0.501450921,0.520312894,0.452287829,0.494890235,0.542013626,0.529838506,0.518848927
2015-05-18,0.681554378,0.701236437,0.611657835,0.590903356,0.607241988,0.526347885,0.501450921,0.520312894,0.452287829,0.494890235,0.542013626,0.572908386
2015-05-25,0.682374464,0.681554378,0.701236437,0.611657835,0.590903356,0.607241988,0.526347885,0.501450921,0.520312894,0.452287829,0.494890235,0.625273129
2015-06-01,0.629447388,0.682374464,0.681554378,0.701236437,0.611657835,0.590903356,0.607241988,0.526347885,0.501450921,0.520312894,0.452287829,0.651779211
2015-06-08,0.645323408,0.629447388,0.682374464,0.681554378,0.701236437,0.611657835,0.590903356,0.607241988,0.526347885,0.501450921,0.520312894,0.669906934
2015-06-15,0.667171335,0.645323408,0.629447388,0.682374464,0.681554378,0.701236437,0.611657835,0.590903356,0.607241988,0.526347885,0.501450921,0.68091305
2015-06-22,0.646858441,0.667171335,0.645323408,0.629447388,0.682374464,0.681554378,0.701236437,0.611657835,0.590903356,0.607241988,0.526347885,0.693537714
2015-06-29,0.641328118,0.646858441,0.667171335,0.645323408,0.629447388,0.682374464,0.681554378,0.701236437,0.611657835,0.590903356,0.607241988,0.698698023
2015-07-06,0.61209942,0.641328118,0.646858441,0.667171335,0.645323408,0.629447388,0.682374464,0.681554378,0.701236437,0.611657835,0.590903356,0.697322257
2015-07-13,0.534737993,0.61209942,0.641328118,0.646858441,0.667171335,0.645323408,0.629447388,0.682374464,0.681554378,0.701236437,0.611657835,0.68962464
2015-07-20,0.517789553,0.534737993,0.61209942,0.641328118,0.646858441,0.667171335,0.645323408,0.629447388,0.682374464,0.681554378,0.701236437,0.673001214
2015-07-27,0.496656573,0.517789553,0.534737993,0.61209942,0.641328118,0.646858441,0.667171335,0.645323408,0.629447388,0.682374464,0.681554378,0.656934758
2015-08-03,0.428274035,0.496656573,0.517789553,0.534737993,0.61209942,0.641328118,0.646858441,0.667171335,0.645323408,0.629447388,0.682374464,0.637612167
2015-08-10,0.384430987,0.428274035,0.496656573,0.517789553,0.534737993,0.61209942,0.641328118,0.646858441,0.667171335,0.645323408,0.629447388,0.617375574
2015-08-17,0.37875347,0.384430987,0.428274035,0.496656573,0.517789553,0.534737993,0.61209942,0.641328118,0.646858441,0.667171335,0.645323408,0.596881917
2015-08-24,0.32050635,0.37875347,0.384430987,0.428274035,0.496656573,0.517789553,0.534737993,0.61209942,0.641328118,0.646858441,0.667171335,0.567424369
2015-08-31,0.332513248,0.32050635,0.37875347,0.384430987,0.428274035,0.496656573,0.517789553,0.534737993,0.61209942,0.641328118,0.646858441,0.528388832
2015-09-07,0.390108504,0.332513248,0.32050635,0.37875347,0.384430987,0.428274035,0.496656573,0.517789553,0.534737993,0.61209942,0.641328118,0.506638421
2015-09-14,0.353478005,0.390108504,0.332513248,0.32050635,0.37875347,0.384430987,0.428274035,0.496656573,0.517789553,0.534737993,0.61209942,0.496313045
2015-09-21,0.368975524,0.353478005,0.390108504,0.332513248,0.32050635,0.37875347,0.384430987,0.428274035,0.496656573,0.517789553,0.534737993,0.485630638
2015-09-28,0.343426697,0.368975524,0.353478005,0.390108504,0.332513248,0.32050635,0.37875347,0.384430987,0.428274035,0.496656573,0.517789553,0.474077071
2015-10-05,0.349135756,0.343426697,0.368975524,0.353478005,0.390108504,0.332513248,0.32050635,0.37875347,0.384430987,0.428274035,0.496656573,0.467731415
2015-10-12,0.403923795,0.349135756,0.343426697,0.368975524,0.353478005,0.390108504,0.332513248,0.32050635,0.37875347,0.384430987,0.428274035,0.46070978
2015-10-19,0.376040878,0.403923795,0.349135756,0.343426697,0.368975524,0.353478005,0.390108504,0.332513248,0.32050635,0.37875347,0.384430987,0.45861043
2015-10-26,0.354655564,0.376040878,0.403923795,0.349135756,0.343426697,0.368975524,0.353478005,0.390108504,0.332513248,0.32050635,0.37875347,0.445471639
2015-11-02,0.364496593,0.354655564,0.376040878,0.403923795,0.349135756,0.343426697,0.368975524,0.353478005,0.390108504,0.332513248,0.32050635,0.427277271
2015-11-09,0.351732694,0.364496593,0.354655564,0.376040878,0.403923795,0.349135756,0.343426697,0.368975524,0.353478005,0.390108504,0.332513248,0.407959442
2015-11-16,0.292202877,0.351732694,0.364496593,0.354655564,0.376040878,0.403923795,0.349135756,0.343426697,0.368975524,0.353478005,0.390108504,0.389403279
2015-11-23,0.272899319,0.292202877,0.351732694,0.364496593,0.354655564,0.376040878,0.403923795,0.349135756,0.343426697,0.368975524,0.353478005,0.370809035
2015-11-30,0.28730339,0.272899319,0.292202877,0.351732694,0.364496593,0.354655564,0.376040878,0.403923795,0.349135756,0.343426697,0.368975524,0.345083663
2015-12-07,0.238644966,0.28730339,0.272899319,0.292202877,0.351732694,0.364496593,0.354655564,0.376040878,0.403923795,0.349135756,0.343426697,0.323666484
2015-12-14,0.174741358,0.238644966,0.28730339,0.272899319,0.292202877,0.351732694,0.364496593,0.354655564,0.376040878,0.403923795,0.349135756,0.292128625
2015-12-21,0.148120111,0.174741358,0.238644966,0.28730339,0.272899319,0.292202877,0.351732694,0.364496593,0.354655564,0.376040878,0.403923795,0.250517696
2015-12-28,0.165846581,0.148120111,0.174741358,0.238644966,0.28730339,0.272899319,0.292202877,0.351732694,0.364496593,0.354655564,0.376040878,0.219455882
2016-01-04,0.171271764,0.165846581,0.148120111,0.174741358,0.238644966,0.28730339,0.272899319,0.292202877,0.351732694,0.364496593,0.354655564,0.194420774
2016-01-11,0.088443099,0.171271764,0.165846581,0.148120111,0.174741358,0.238644966,0.28730339,0.272899319,0.292202877,0.351732694,0.364496593,0.164987027
2016-01-18,0.017127176,0.088443099,0.171271764,0.165846581,0.148120111,0.174741358,0.238644966,0.28730339,0.272899319,0.292202877,0.351732694,0.133434887
2016-01-25,0.010282614,0.017127176,0.088443099,0.171271764,0.165846581,0.148120111,0.174741358,0.238644966,0.28730339,0.272899319,0.292202877,0.097936352
2016-02-01,0.056333586,0.010282614,0.017127176,0.088443099,0.171271764,0.165846581,0.148120111,0.174741358,0.238644966,0.28730339,0.272899319,0.075371908
2016-02-08,0.061443351,0.056333586,0.010282614,0.017127176,0.088443099,0.171271764,0.165846581,0.148120111,0.174741358,0.238644966,0.28730339,0.056753862
2016-02-15,0,0.061443351,0.056333586,0.010282614,0.017127176,0.088443099,0.171271764,0.165846581,0.148120111,0.174741358,0.238644966,0.042253587
2016-02-22,0.072924552,0,0.061443351,0.056333586,0.010282614,0.017127176,0.088443099,0.171271764,0.165846581,0.148120111,0.174741358,0.020331801
2016-02-29,0.0945622,0.072924552,0,0.061443351,0.056333586,0.010282614,0.017127176,0.088443099,0.171271764,0.165846581,0.148120111,0.007178729
2016-03-07,0.156720498,0.0945622,0.072924552,0,0.061443351,0.056333586,0.010282614,0.017127176,0.088443099,0.171271764,0.165846581,0
2016-03-14,0.184897805,0.156720498,0.0945622,0.072924552,0,0.061443351,0.056333586,0.010282614,0.017127176,0.088443099,0.171271764,0.008435483
2016-03-21,0.193350997,0.184897805,0.156720498,0.0945622,0.072924552,0,0.061443351,0.056333586,0.010282614,0.017127176,0.088443099,0.033770499
2016-03-28,0.213064598,0.193350997,0.184897805,0.156720498,0.0945622,0.072924552,0,0.061443351,0.056333586,0.010282614,0.017127176,0.056449193
2016-04-04,0.200921019,0.213064598,0.193350997,0.184897805,0.156720498,0.0945622,0.072924552,0,0.061443351,0.056333586,0.010282614,0.064518124
2016-04-11,0.190196821,0.200921019,0.213064598,0.193350997,0.184897805,0.156720498,0.0945622,0.072924552,0,0.061443351,0.056333586,0.062832932
2016-04-18,0.249200942,0.190196821,0.200921019,0.213064598,0.193350997,0.184897805,0.156720498,0.0945622,0.072924552,0,0.061443351,0.060790707
2016-04-25,0.271953066,0.249200942,0.190196821,0.200921019,0.213064598,0.193350997,0.184897805,0.156720498,0.0945622,0.072924552,0,0.060505081
2016-05-02,0.309708554,0.271953066,0.249200942,0.190196821,0.200921019,0.213064598,0.193350997,0.184897805,0.156720498,0.0945622,0.072924552,0.063637446
2016-05-09,0.303242493,0.309708554,0.271953066,0.249200942,0.190196821,0.200921019,0.213064598,0.193350997,0.184897805,0.156720498,0.0945622,0.092366648
2016-05-16,0.342732778,0.303242493,0.309708554,0.271953066,0.249200942,0.190196821,0.200921019,0.213064598,0.193350997,0.184897805,0.156720498,0.110832361
2016-05-23,0.367040962,0.342732778,0.303242493,0.309708554,0.271953066,0.249200942,0.190196821,0.200921019,0.213064598,0.193350997,0.184897805,0.153685762
2016-05-30,0.379952057,0.367040962,0.342732778,0.303242493,0.309708554,0.271953066,0.249200942,0.190196821,0.200921019,0.213064598,0.193350997,0.210772855
2016-06-06,0.388026748,0.379952057,0.367040962,0.342732778,0.303242493,0.309708554,0.271953066,0.249200942,0.190196821,0.200921019,0.213064598,0.248075595
2016-06-13,0.404344352,0.388026748,0.379952057,0.367040962,0.342732778,0.303242493,0.309708554,0.271953066,0.249200942,0.190196821,0.200921019,0.272725108
2016-06-20,0.350681302,0.404344352,0.388026748,0.379952057,0.367040962,0.342732778,0.303242493,0.309708554,0.271953066,0.249200942,0.190196821,0.289148596
2016-06-27,0.392505678,0.350681302,0.404344352,0.388026748,0.379952057,0.367040962,0.342732778,0.303242493,0.309708554,0.271953066,0.249200942,0.291890605
2016-07-04,0.375031542,0.392505678,0.350681302,0.404344352,0.388026748,0.379952057,0.367040962,0.342732778,0.303242493,0.309708554,0.271953066,0.292918858
2016-07-11,0.364559677,0.375031542,0.392505678,0.350681302,0.404344352,0.388026748,0.379952057,0.367040962,0.342732778,0.303242493,0.309708554,0.291162259
2016-07-18,0.34203886,0.364559677,0.375031542,0.392505678,0.350681302,0.404344352,0.388026748,0.379952057,0.367040962,0.342732778,0.303242493,0.282760096
2016-07-25,0.321473631,0.34203886,0.364559677,0.375031542,0.392505678,0.350681302,0.404344352,0.388026748,0.379952057,0.367040962,0.342732778,0.268726346
2016-08-01,0.282109513,0.321473631,0.34203886,0.364559677,0.375031542,0.392505678,0.350681302,0.404344352,0.388026748,0.379952057,0.367040962,0.252717015
2016-08-08,0.267642359,0.282109513,0.321473631,0.34203886,0.364559677,0.375031542,0.392505678,0.350681302,0.404344352,0.388026748,0.379952057,0.227396281
2016-08-15,0.304882665,0.267642359,0.282109513,0.321473631,0.34203886,0.364559677,0.375031542,0.392505678,0.350681302,0.404344352,0.388026748,0.202603955
2016-08-22,0.361910169,0.304882665,0.267642359,0.282109513,0.321473631,0.34203886,0.364559677,0.375031542,0.392505678,0.350681302,0.404344352,0.191221764
2016-08-29,0.365632097,0.361910169,0.304882665,0.267642359,0.282109513,0.321473631,0.34203886,0.364559677,0.375031542,0.392505678,0.350681302,0.19195011
2016-09-05,0.298511229,0.365632097,0.361910169,0.304882665,0.267642359,0.282109513,0.321473631,0.34203886,0.364559677,0.375031542,0.392505678,0.195648965
2016-09-12,0.34330053,0.298511229,0.365632097,0.361910169,0.304882665,0.267642359,0.282109513,0.321473631,0.34203886,0.364559677,0.375031542,0.194749244
2016-09-19,0.315501724,0.34330053,0.298511229,0.365632097,0.361910169,0.304882665,0.267642359,0.282109513,0.321473631,0.34203886,0.364559677,0.196510604
2016-09-26,0.343111279,0.315501724,0.34330053,0.298511229,0.365632097,0.361910169,0.304882665,0.267642359,0.282109513,0.321473631,0.34203886,0.193192582
2016-10-03,0.38001514,0.343111279,0.315501724,0.34330053,0.298511229,0.365632097,0.361910169,0.304882665,0.267642359,0.282109513,0.321473631,0.190750481
2016-10-10,0.436474893,0.38001514,0.343111279,0.315501724,0.34330053,0.298511229,0.365632097,0.361910169,0.304882665,0.267642359,0.282109513,0.192635612
2016-10-17,0.428400202,0.436474893,0.38001514,0.343111279,0.315501724,0.34330053,0.298511229,0.365632097,0.361910169,0.304882665,0.267642359,0.212015328
2016-10-24,0.430145513,0.428400202,0.436474893,0.38001514,0.343111279,0.315501724,0.34330053,0.298511229,0.365632097,0.361910169,0.304882665,0.233489632
2016-10-31,0.416855917,0.430145513,0.428400202,0.436474893,0.38001514,0.343111279,0.315501724,0.34330053,0.298511229,0.365632097,0.361910169,0.249061004
2016-11-07,0.332134746,0.416855917,0.430145513,0.428400202,0.436474893,0.38001514,0.343111279,0.315501724,0.34330053,0.298511229,0.365632097,0.254373646
2016-11-14,0.305240138,0.332134746,0.416855917,0.430145513,0.428400202,0.436474893,0.38001514,0.343111279,0.315501724,0.34330053,0.298511229,0.252436151
2016-11-21,0.328286652,0.305240138,0.332134746,0.416855917,0.430145513,0.428400202,0.436474893,0.38001514,0.343111279,0.315501724,0.34330053,0.244990835
2016-11-28,0.365127429,0.328286652,0.305240138,0.332134746,0.416855917,0.430145513,0.428400202,0.436474893,0.38001514,0.343111279,0.315501724,0.241120605
2016-12-05,0.394272016,0.365127429,0.328286652,0.305240138,0.332134746,0.416855917,0.430145513,0.428400202,0.436474893,0.38001514,0.343111279,0.249303786
2016-12-12,0.441269241,0.394272016,0.365127429,0.328286652,0.305240138,0.332134746,0.416855917,0.430145513,0.428400202,0.436474893,0.38001514,0.280022849
2016-12-19,0.482609976,0.441269241,0.394272016,0.365127429,0.328286652,0.305240138,0.332134746,0.416855917,0.430145513,0.428400202,0.436474893,0.332163853
2016-12-26,0.484292203,0.482609976,0.441269241,0.394272016,0.365127429,0.328286652,0.305240138,0.332134746,0.416855917,0.430145513,0.428400202,0.369880751
2017-01-02,0.499621499,0.484292203,0.482609976,0.441269241,0.394272016,0.365127429,0.328286652,0.305240138,0.332134746,0.416855917,0.430145513,0.409359008
2017-01-09,0.51879889,0.499621499,0.484292203,0.482609976,0.441269241,0.394272016,0.365127429,0.328286652,0.305240138,0.332134746,0.416855917,0.457596458
2017-01-16,0.489212718,0.51879889,0.499621499,0.484292203,0.482609976,0.441269241,0.394272016,0.365127429,0.328286652,0.305240138,0.332134746,0.481446219
2017-01-23,0.494974346,0.489212718,0.51879889,0.499621499,0.484292203,0.482609976,0.441269241,0.394272016,0.365127429,0.328286652,0.305240138,0.493942351
2017-01-30,0.50876861,0.494974346,0.489212718,0.51879889,0.499621499,0.484292203,0.482609976,0.441269241,0.394272016,0.365127429,0.328286652,0.501968438
2017-02-06,0.516906384,0.50876861,0.494974346,0.489212718,0.51879889,0.499621499,0.484292203,0.482609976,0.441269241,0.394272016,0.365127429,0.505010353
2017-02-13,0.503175204,0.516906384,0.50876861,0.494974346,0.489212718,0.51879889,0.499621499,0.484292203,0.482609976,0.441269241,0.394272016,0.505738699
2017-02-20,0.504415847,0.503175204,0.516906384,0.50876861,0.494974346,0.489212718,0.51879889,0.499621499,0.484292203,0.482609976,0.441269241,0.504353414
2017-02-27,0.508011607,0.504415847,0.503175204,0.516906384,0.50876861,0.494974346,0.489212718,0.51879889,0.499621499,0.484292203,0.482609976,0.502696784
2017-03-06,0.508095719,0.508011607,0.504415847,0.503175204,0.516906384,0.50876861,0.494974346,0.489212718,0.51879889,0.499621499,0.484292203,0.498845596
2017-03-13,0.442278577,0.508095719,0.508011607,0.504415847,0.503175204,0.516906384,0.50876861,0.494974346,0.489212718,0.51879889,0.499621499,0.491328874
2017-03-20,0.434519304,0.442278577,0.508095719,0.508011607,0.504415847,0.503175204,0.516906384,0.50876861,0.494974346,0.489212718,0.51879889,0.479989527
2017-03-27,0.418643284,0.434519304,0.442278577,0.508095719,0.508011607,0.504415847,0.503175204,0.516906384,0.50876861,0.494974346,0.489212718,0.458372409
2017-04-03,0.450164017,0.418643284,0.434519304,0.442278577,0.508095719,0.508011607,0.504415847,0.503175204,0.516906384,0.50876861,0.494974346,0.433860947
2017-04-10,0.472117083,0.450164017,0.418643284,0.434519304,0.442278577,0.508095719,0.508011607,0.504415847,0.503175204,0.516906384,0.50876861,0.420322281
2017-04-17,0.500851628,0.472117083,0.450164017,0.418643284,0.434519304,0.442278577,0.508095719,0.508011607,0.504415847,0.503175204,0.516906384,0.418936995
2017-04-24,0.458364875,0.500851628,0.472117083,0.450164017,0.418643284,0.434519304,0.442278577,0.508095719,0.508011607,0.504415847,0.503175204,0.422021755
