shift count,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
0,0.890011892,0.889975176,0.885052886,0.892568107,0.885458063,0.8898145,0.889522018,0.887297985,0.875401476,0.873426351,0.873447101,0.879969677,0.865904462,0.87951874,0.871933589,0.875472203,0.878943729
1,0.90359423,0.903833504,0.899229082,0.905865567,0.899667029,0.903700706,0.903754476,0.901209152,0.889696754,0.887754585,0.88809515,0.893978431,0.8807018,0.893944951,0.886711553,0.88883809,0.893157469
2,0.915901083,0.916249527,0.911921779,0.917781642,0.912408665,0.915955393,0.916630484,0.913774685,0.902889953,0.900803949,0.901476332,0.906543878,0.894361846,0.907025114,0.900182508,0.900220217,0.906163303
3,0.926209072,0.926794237,0.922610835,0.927801283,0.923343831,0.926264153,0.92787208,0.924441783,0.914638312,0.91229793,0.913238136,0.917368372,0.906548231,0.918450335,0.911975815,0.908511578,0.91763113
4,0.93414685,0.934981046,0.931050623,0.935620381,0.932076202,0.934307763,0.937021959,0.932928756,0.924508506,0.921894578,0.923035327,0.92631097,0.916939209,0.927951973,0.921816977,0.91560061,0.927280879
5,0.940074292,0.941175961,0.937526546,0.941523172,0.938894339,0.940488044,0.944302099,0.939560849,0.932795986,0.929856217,0.931155004,0.933597098,0.925723121,0.935883061,0.929949766,0.921070088,0.935338639
6,0.944157189,0.945385011,0.941960682,0.94569882,0.943691488,0.94483781,0.94970551,0.944356343,0.939386829,0.935949781,0.937403177,0.939100533,0.932669382,0.942004566,0.936225655,0.92456781,0.941517921
7,0.947074676,0.948133504,0.945026076,0.94859551,0.947007447,0.947903871,0.95370949,0.947831886,0.94467594,0.940743085,0.942311413,0.943361495,0.93826165,0.94675314,0.941121482,0.926643339,0.946335941
8,0.94912498,0.949681538,0.947130845,0.950379805,0.949080075,0.950075714,0.956418551,0.950250282,0.948905036,0.944458785,0.946061929,0.946599532,0.942754667,0.950336199,0.944780338,0.92744456,0.95011302
9,0.950194257,0.950109192,0.948279017,0.951204312,0.950018964,0.951150354,0.958086206,0.951591178,0.952053839,0.947083953,0.948671586,0.948726731,0.946150849,0.952846994,0.947252368,0.927150208,0.952769568
10,0.950397842,0.949454771,0.948420931,0.951126254,0.949849603,0.951202379,0.958790071,0.951917899,0.954178693,0.948717668,0.950247924,0.949768522,0.948482837,0.954350201,0.948649359,0.925150462,0.95433984
11,0.949835927,0.947868363,0.947499848,0.950116189,0.948646392,0.950300418,0.958536793,0.951295463,0.955327484,0.949395852,0.95079753,0.949817087,0.949820889,0.954787321,0.949007856,0.921859484,0.954843383
12,0.948170142,0.945275224,0.945500862,0.948193709,0.946581399,0.94853369,0.957549069,0.949740348,0.955497373,0.949225691,0.950461029,0.948920378,0.950283513,0.954255317,0.948350186,0.91674723,0.954443973
13,0.945659513,0.941755157,0.942607031,0.945466324,0.943814033,0.946093377,0.955445437,0.947373935,0.954866123,0.948384222,0.949442718,0.947191936,0.949988653,0.952943194,0.946841918,0.910488774,0.953460204
14,0.942635798,0.937525093,0.938769365,0.942011113,0.94039598,0.943073689,0.95238208,0.944357716,0.953495821,0.946822488,0.947671271,0.944642527,0.948924779,0.950739797,0.944526116,0.904033062,0.951968719
15,0.939053322,0.932636466,0.934251881,0.937949857,0.936484903,0.939523968,0.948502237,0.940769525,0.951399039,0.94454745,0.94521692,0.941411776,0.947161318,0.947646002,0.94148782,0.896748608,0.949864583
16,0.934991792,0.927346545,0.929248407,0.933371196,0.932256126,0.935607129,0.943952861,0.936758443,0.948730343,0.941782963,0.942282494,0.937718145,0.944901046,0.943975369,0.937887212,0.888569525,0.947231993
17,0.930331074,0.921613394,0.9235714,0.9283392,0.927480557,0.931154066,0.938901693,0.932216891,0.94549376,0.938450018,0.938750138,0.933545189,0.942028007,0.939651426,0.933638462,0.879511974,0.943923602
18,0.925344653,0.915491764,0.917378639,0.92297177,0.922247542,0.926095636,0.933352808,0.927257377,0.941771731,0.934561405,0.934684129,0.928901672,0.938579093,0.934740003,0.92883082,0.871003277,0.940044632
19,0.920048527,0.90901604,0.910797358,0.917416461,0.916707048,0.920684352,0.927322945,0.922013138,0.937634156,0.93033736,0.930288398,0.924009558,0.934747299,0.929506733,0.923670532,0.863106956,0.935730871
20,0.914710581,0.902337924,0.903994062,0.911857078,0.911068446,0.915177844,0.920872237,0.916702743,0.933231703,0.925935883,0.925671753,0.918950762,0.930610372,0.924015053,0.918239652,0.8559524,0.930967877
