date,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
20150107,1641.72,1546.02,1534.62,1550.61,1550.74,1544.65,1547.59,1563.03,1570.88,1577.12,1579.57,1553.44,1568.3,1553.73,1551.07,1559.72,1573.79
20150108,1634.56,1538.67,1530.06,1545.52,1544.34,1538.38,1540.55,1558.7,1566.4,1571.77,1574.92,1549.28,1564.32,1549.02,1545.42,1545.63,1568.38
20150109,1628.5,1534.68,1524.04,1538.73,1539.58,1532.16,1532.34,1552.71,1561.84,1566.18,1569.83,1543.85,1560.07,1543.77,1540.79,1538.43,1566.07
20150110,1621.74,1527.29,1518.26,1531.17,1532.39,1521.28,1526.48,1546.87,1557.14,1560.79,1565.43,1538.67,1554.85,1536.93,1535.31,1519.84,1559.2
20150111,1618.97,1524.21,1513.9,1528.11,1530.15,1519.7,1522.3,1544.15,1553.37,1558.01,1562.44,1535.63,1552.01,1533.61,1532.21,1514.35,1558.46
20150112,1617.15,1521.27,1510.64,1523.3,1529.45,1519.85,1522.11,1539.85,1548.97,1553.29,1558.14,1531.03,1548.36,1528.29,1527.94,1508.02,1555.55
20150113,1604.89,1513.36,1502.02,1513.54,1520.59,1513.65,1514,1529.95,1543.72,1546.03,1551.83,1523.95,1541.62,1519.92,1520.57,1505.91,1551.5
20150114,1594.36,1503.97,1492.9,1504.51,1511.93,1505.64,1508.26,1520.27,1537.03,1538.62,1545.08,1515.26,1533.06,1512.01,1512.79,1500.88,1544.57
20150115,1585,1494.78,1480.79,1493.82,1503.88,1495.67,1496.3,1509.99,1529.81,1530.93,1536.87,1505.67,1526.07,1503.51,1504.23,1486.69,1533.88
20150116,1575.97,1485.08,1468.82,1485.17,1492.37,1484.06,1485.51,1500.94,1520.83,1522.01,1527.77,1496.84,1517.37,1492.9,1495.94,1435.26,1529.09
20150117,1567.7,1476.12,1460.69,1476.5,1487.67,1475.28,1477.21,1493.12,1510.6,1515.65,1520.89,1488.91,1511.72,1482.62,1487.95,1412.44,1523.35
20150118,1566.1,1472.39,1456.24,1473.43,1482.12,1472.43,1471.19,1490.11,1505.47,1512.25,1518.12,1484.67,1507.73,1478.59,1484.15,1409.6,1516.73
20150119,1560.28,1467.45,1449.78,1468.35,1478.05,1469.18,1464.8,1485.48,1499.05,1506.59,1511.66,1476.75,1500.15,1473.17,1478.43,1405.43,1510.6
20150120,1548.65,1457.89,1442.29,1455.12,1469.38,1459.13,1453.91,1474.84,1489.56,1499.47,1502.33,1468.9,1490.24,1463.71,1468.95,1405,1502.56
20150121,1538.56,1450.1,1432.28,1443.17,1462.06,1449.56,1445.48,1465.62,1480.78,1491.13,1493.75,1460.86,1481.85,1453.5,1460.44,1402.94,1498.22
20150122,1531.41,1441.58,1425.84,1437.17,1456.06,1441.67,1434.64,1458.77,1471.99,1480.34,1485.48,1453.09,1473.75,1445.1,1453.72,1400.97,1492.33
20150123,1525.06,1432.14,1417.07,1430.83,1447.05,1430.94,1430.27,1451.26,1466.49,1471.46,1477.21,1445.25,1466.31,1436.89,1446.7,1400.48,1483.33
20150124,1520.46,1428.71,1409.79,1426.08,1442.17,1425.81,1426.62,1445.87,1460.42,1463.88,1471.3,1439.9,1459.57,1430.05,1440.85,1400.43,1474.42
20150125,1517.87,1427.63,1406.68,1424.79,1439.25,1423.88,1424.02,1443.68,1456.82,1459.92,1468.39,1436.22,1454.54,1426.27,1437.19,1400.2,1471.44
20150126,1515.64,1423.96,1402.3,1423.09,1435.38,1420.31,1420.24,1440.48,1452.31,1456.08,1462.88,1430.88,1449.48,1421.95,1432.42,1399.56,1466.81
20150127,1511.67,1416.54,1395.96,1418.93,1429.4,1415.67,1413.13,1433.81,1444.41,1448.55,1457.67,1423.19,1443.22,1417.04,1426.93,1400.18,1456.16
20150128,1507.54,1412.61,1390.22,1416.3,1423.52,1411.18,1409.31,1429.59,1440.6,1444.02,1452.31,1418.05,1437.51,1412.25,1422.58,1399.25,1451.8
20150129,1504.13,1409.97,1383.63,1414.15,1417.05,1407.7,1404.45,1425.37,1434.57,1439.53,1447.59,1413.44,1432.89,1406.13,1417.72,1401.49,1447.54
20150130,1500.95,1406.12,1379.8,1412.3,1411.83,1403.89,1401.2,1421.68,1431.16,1436.38,1443.62,1410.99,1427.94,1402.16,1414.06,1400.63,1445.61
20150131,1497.85,1403.35,1377.09,1410.79,1409.11,1402.48,1398.15,1420.16,1425.96,1434.06,1440.57,1407.6,1424.23,1398.21,1410.37,1400.94,1444.15
20150201,1495.46,1402.27,1374.75,1407.63,1406.75,1400.61,1394.85,1418.34,1422.94,1431.34,1436.65,1405.35,1421.43,1394.07,1407.38,1400.2,1438.39
20150202,1494.08,1399.51,1373.3,1405.19,1404.16,1399.26,1392.13,1416.2,1420.55,1427.17,1433.56,1402.87,1418.63,1391.73,1404.29,1398,1432.92
20150203,1490.98,1398.54,1371.69,1403.13,1400.89,1397.55,1389.85,1413.83,1417.81,1423.98,1430.84,1400.89,1415.15,1387.96,1401.26,1399.21,1431.96
20150204,1489.52,1397.44,1370.61,1401.91,1399.27,1396.29,1389.64,1412.29,1416.82,1422.09,1428.11,1398.82,1411.78,1386.25,1399.23,1438.72,1429.74
20150205,1489.82,1396.78,1371.5,1401.49,1400.05,1397.37,1388.82,1412.81,1415.8,1420.43,1426.94,1398.46,1410.21,1385.29,1398.65,1442.04,1431.96
20150206,1489.56,1396.46,1371.96,1402.49,1400.34,1397.74,1389,1413.77,1415.45,1419.55,1426.95,1398.68,1409.21,1384.98,1397.41,1451.43,1431.81
20150207,1490.72,1396.72,1373.14,1404.08,1400.68,1399.58,1387.88,1415.87,1415.82,1419.71,1426.8,1398.54,1408.65,1385.77,1397.99,1455.06,1431.62
20150208,1490.8,1397.17,1374.32,1404.82,1401.39,1400.65,1388.46,1416.75,1416.15,1419.52,1426.6,1399.25,1407.7,1386.37,1398.09,1454.95,1432.18
20150209,1492.92,1397.52,1376.66,1405.56,1401.8,1403.23,1387.72,1418.35,1416.87,1419.67,1426.87,1401.9,1407.53,1386.76,1398.28,1455.23,1431.9
20150210,1501.33,1404.88,1378.09,1415.5,1405.1,1408.05,1388.24,1423.59,1418.4,1420.95,1428.25,1404.29,1407.95,1387.71,1400.06,1494.38,1432.49
20150211,1512.32,1416.33,1384.2,1423.17,1411.95,1413.84,1390.62,1430.17,1422.71,1423.07,1430.87,1408.12,1410.65,1389.96,1403.26,1518.97,1437.84
20150212,1517.57,1424.52,1386.21,1428.21,1417.96,1419.93,1400.78,1435.44,1425.18,1426.4,1433.11,1411.15,1414.61,1391.83,1408.26,1522.63,1441.07
20150213,1521.01,1428.59,1391.24,1433.16,1421.13,1423.94,1406.99,1440.13,1428.96,1428.67,1435.96,1415.3,1417.26,1394.97,1410.7,1521.63,1445.29
20150214,1526.77,1432.53,1399.63,1438.6,1427.93,1431.25,1416.79,1445.61,1433.47,1432.37,1440.63,1420.54,1422.89,1399.34,1415.93,1514.46,1449.38
20150215,1528.9,1434.87,1405.46,1443.17,1431.08,1433.1,1419.2,1448.11,1435.63,1435.18,1443.15,1422.57,1426.74,1403.22,1418.13,1513.41,1448.88
20150216,1532.28,1437.53,1411.66,1447.69,1438.05,1438.9,1423.72,1452.21,1439.58,1438.97,1447.96,1426.69,1430.24,1406.65,1421.69,1510.46,1452.38
20150217,1544.48,1445,1423.42,1459.3,1447.41,1447.89,1430.14,1460.97,1448.06,1446.31,1454.66,1433.3,1439.49,1413.99,1426.72,1510.83,1457.96
20150218,1552.16,1453.73,1433.78,1465.31,1452.72,1454.67,1434.63,1467.72,1454.22,1453.54,1461.95,1439.83,1448.9,1425.27,1433.65,1510.87,1465.96
20150219,1554.01,1456.78,1437.82,1467.74,1455.34,1457.31,1436.8,1469.76,1456.39,1456.35,1463.47,1442.17,1451.41,1428.86,1436.67,1512.02,1472.5
