datetime,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종,Foreign oil
2015-01-07,0.611142769,0.615729254,0.612352117,0.586962145,0.618333333,0.577515683,0.609602262,0.601074607,0.637708307,0.63791913,0.657984961,0.629960212,0.659583123,0.640684813,0.643528624,0.479225346,0.632739134,0.405552429
2015-01-10,0.567311555,0.571682428,0.5675099,0.538668317,0.579042357,0.527660589,0.564663024,0.560111691,0.600207183,0.597266493,0.620670511,0.590036497,0.62285521,0.595774535,0.602957013,0.390379804,0.599426564,0.373663478
2015-01-13,0.498547367,0.514345938,0.501994561,0.473349715,0.527854512,0.485591915,0.517240754,0.493679752,0.553926786,0.543816505,0.569797795,0.53151592,0.56946398,0.536079368,0.546814517,0.347754588,0.558287489,0.341774526
2015-01-16,0.428970452,0.440127982,0.414146001,0.402433166,0.459493554,0.409296012,0.440529592,0.422189734,0.484241298,0.48170253,0.504538902,0.45943251,0.506800104,0.459489874,0.479340687,0.141162681,0.500487373,0.386419058
2015-01-19,0.3707904,0.38516397,0.354187113,0.339193009,0.410994475,0.359862798,0.377348232,0.367444025,0.420373971,0.431837314,0.447033155,0.397562369,0.443499101,0.399474524,0.420918343,0.102736131,0.445530666,0.370787219
2015-01-22,0.304875429,0.316154126,0.284218801,0.272165463,0.351869245,0.286996955,0.311502596,0.301594987,0.353687437,0.354741074,0.375199673,0.331471388,0.37232713,0.325700752,0.356354958,0.092685572,0.387236046,0.356718564
2015-01-25,0.27521556,0.283733394,0.23757977,0.246974708,0.31388582,0.251632488,0.280564391,0.265934593,0.310774951,0.306379759,0.331320372,0.285051841,0.320974706,0.281647432,0.312960214,0.090988611,0.334295401,0.351184893
2015-01-28,0.244799014,0.24646373,0.187493592,0.224749201,0.266344383,0.2176162,0.242113658,0.227077643,0.266112286,0.264175928,0.287080687,0.238767825,0.273043163,0.239534041,0.272039349,0.092239464,0.287260295,0.345651222
2015-01-31,0.221229927,0.22418511,0.159652746,0.207068561,0.236528545,0.198888441,0.215081242,0.20645046,0.23122224,0.23829747,0.255191491,0.21295875,0.239667518,0.205133276,0.240684149,0.090288833,0.259216113,0.425029701
2015-02-03,0.20528366,0.212492852,0.148578906,0.191290853,0.218287293,0.188671631,0.199838694,0.191624085,0.213228512,0.213639158,0.230948299,0.195872097,0.213055219,0.182051898,0.218467747,0.160992635,0.23848491,0.504408179
2015-02-06,0.205993629,0.210214894,0.154067,0.195780294,0.220313076,0.194871419,0.197147233,0.198637703,0.210380924,0.206337196,0.225552266,0.194226357,0.201704559,0.179810622,0.212986408,0.232256259,0.240339307,0.505221034
2015-02-09,0.23914729,0.237039978,0.173138613,0.226116356,0.235451197,0.219771452,0.19827094,0.222818704,0.220371132,0.210981319,0.231045701,0.211496946,0.202263271,0.186694541,0.220854313,0.325974003,0.246634746,0.518226724
2015-02-12,0.29405775,0.300284036,0.210373669,0.27760637,0.27980663,0.265627866,0.250813329,0.268952517,0.248402371,0.233445259,0.254139557,0.243133876,0.230326258,0.207139124,0.253150557,0.404821469,0.278501838,0.502094666
2015-02-15,0.331714107,0.330303933,0.272344207,0.323969553,0.325405157,0.306687699,0.294764792,0.306662467,0.282138245,0.264677229,0.289272217,0.277568564,0.271210198,0.242660527,0.283855758,0.38381064,0.300830675,0.519008316
2015-02-18,0.383289583,0.379152429,0.34185355,0.372050917,0.368802947,0.35330533,0.331964948,0.351752699,0.324899365,0.309879404,0.332693731,0.319757592,0.326757857,0.301046714,0.325300504,0.383696926,0.349729686,0.535921966
2015-02-21,0.392986258,0.397990482,0.36147202,0.385205166,0.383370166,0.369795297,0.369699771,0.368346582,0.339752231,0.325958856,0.344927339,0.334424039,0.338206537,0.320832097,0.345605712,0.381099001,0.368939333,0.517601451
2015-02-24,0.433080796,0.434012467,0.387652766,0.41556894,0.409060773,0.394823728,0.409827003,0.397858308,0.367745628,0.351827855,0.372345814,0.354850576,0.357712421,0.349017558,0.37655345,0.382481062,0.384173914,0.499280935
2015-02-27,0.453697908,0.459381927,0.403589721,0.436344154,0.433701657,0.419650391,0.422649956,0.421917087,0.39384694,0.374339087,0.393501383,0.383805919,0.384089472,0.374208373,0.398537016,0.386242368,0.407320587,0.557306322
2015-03-02,0.468065429,0.479618891,0.421919173,0.462061448,0.452900552,0.44344987,0.439831806,0.441735729,0.421736272,0.400009459,0.417286788,0.412664453,0.408310095,0.393551151,0.425613861,0.42973356,0.439121111,0.518914525
2015-03-05,0.484347997,0.499751882,0.444389108,0.477404992,0.475441989,0.460600169,0.453905337,0.460971471,0.442331616,0.420515488,0.439747536,0.434881942,0.430041021,0.41289393,0.448732501,0.542983853,0.459567022,0.53723504
2015-03-08,0.49961232,0.51108496,0.467601205,0.488850297,0.49558011,0.475989581,0.470144723,0.47714228,0.457260166,0.439848664,0.456383683,0.458077195,0.448635323,0.431803521,0.467524278,0.533773027,0.473650926,0.513881073
2015-03-11,0.525199212,0.541293899,0.497883373,0.509948824,0.51553407,0.4982116,0.507363003,0.501530116,0.476805404,0.460997872,0.478737289,0.488717,0.470385854,0.454479963,0.48837277,0.53414041,0.49470546,0.490527106
