datetime,brent,dubai,wti,Foreign oil
2015-01-07,51.15,48.23,48.65,49.34333333
2015-01-13,46.59,45.35,45.89,45.94333333
2015-01-16,50.17,46.11,48.69,48.32333333
2015-01-19,48.84,46.11,47.52,47.49
2015-01-22,48.52,45.39,46.31,46.74
2015-01-28,48.47,45.53,44.45,46.15
2015-02-03,57.91,52.88,53.05,54.61333333
2015-02-06,57.8,54.48,51.69,54.65666667
2015-02-09,58.34,54.85,52.86,55.35
2015-02-12,57.05,55.21,51.21,54.49
2015-02-18,60.53,56.21,52.14,56.29333333
2015-02-24,58.66,55.08,49.28,54.34
2015-02-27,62.58,59.96,49.76,57.43333333
2015-03-02,59.54,57.03,49.59,55.38666667
2015-03-05,60.48,57.85,50.76,56.36333333
2015-03-11,57.54,55.91,48.17,53.87333333
2015-03-17,53.51,53.58,43.46,50.18333333
2015-03-20,55.32,54.32,46.57,52.07
2015-03-23,55.92,54.47,47.45,52.61333333
2015-03-26,59.19,55.03,51.43,55.21666667
2015-04-01,57.1,55.47,50.09,54.22
2015-04-07,59.1,55.15,53.98,56.07666667
2015-04-10,57.87,55.98,51.64,55.16333333
2015-04-13,57.93,56.26,51.91,55.36666667
2015-04-16,63.98,58.74,56.71,59.81
2015-04-22,62.73,57.95,56.16,58.94666667
2015-04-28,64.64,58.43,57.06,60.04333333
2015-05-06,67.77,65.63,60.93,64.77666667
2015-05-12,66.86,64.94,60.75,64.18333333
2015-05-15,66.81,64.58,59.69,63.69333333
2015-05-18,66.27,64.3,59.43,63.33333333
2015-05-21,66.54,64.08,60.72,63.78
2015-05-27,62.06,63.38,57.51,60.98333333
2015-06-02,65.49,63.72,61.26,63.49
2015-06-05,63.31,61.65,59.13,61.36333333
2015-06-08,62.69,61.01,58.14,60.61333333
2015-06-11,65.11,63.05,60.77,62.97666667
2015-06-17,63.87,61.92,59.92,61.90333333
2015-06-23,64.45,62.01,61.01,62.49
2015-06-26,63.26,61.9,59.63,61.59666667
2015-06-29,62.01,61.9,58.33,60.74666667
2015-07-01,62.01,61.23,56.96,60.06666667
2015-07-07,56.85,56.82,52.33,55.33333333
2015-07-10,58.73,58.4,52.74,56.62333333
2015-07-13,57.85,57.89,52.2,55.98
2015-07-16,57.51,56.83,50.91,55.08333333
2015-07-22,56.13,56.58,49.19,53.96666667
2015-07-28,53.3,56.11,47.98,52.46333333
2015-07-31,52.21,52.25,47.12,50.52666667
2015-08-03,49.52,49.52,45.17,48.07
2015-08-06,49.52,49.93,44.66,48.03666667
2015-08-12,49.66,50.25,43.3,47.73666667
2015-08-18,48.81,49.12,42.62,46.85
2015-08-21,45.46,47.69,40.45,44.53333333
2015-08-24,42.69,46.85,38.24,42.59333333
2015-08-27,47.56,45.76,42.56,45.29333333
2015-09-02,50.5,48.26,46.25,48.33666667
2015-09-08,49.52,47.34,45.94,47.6
2015-09-11,48.14,46.12,44.63,46.29666667
2015-09-14,46.37,45.55,44,45.30666667
2015-09-17,49.08,45.68,46.9,47.22
2015-09-23,47.75,45.38,44.48,45.87
2015-09-29,48.23,45.39,45.23,46.28333333
2015-10-01,47.69,45.75,44.74,46.06
2015-10-07,51.33,48.06,47.81,49.06666667
2015-10-13,49.24,46.86,46.66,47.58666667
2015-10-16,50.46,47.13,47.26,48.28333333
2015-10-19,48.61,46.23,45.89,46.91
2015-10-22,48.08,45.93,45.38,46.46333333
2015-10-28,49.05,45.96,45.94,46.98333333
2015-11-03,50.54,47.02,47.9,48.48666667
2015-11-06,47.42,44.39,44.29,45.36666667
2015-11-09,47.19,44.16,43.87,45.07333333
2015-11-12,45.19,42.55,41.75,43.16333333
2015-11-18,44.14,41.54,40.75,42.14333333
2015-11-24,46.12,41.94,42.87,43.64333333
2015-11-27,44.86,41.7,41.71,42.75666667
2015-11-30,44.61,40.68,41.65,42.31333333
2015-12-02,42.49,38.57,39.94,40.33333333
2015-12-08,40.26,36.31,37.51,38.02666667
2015-12-11,37.93,35.42,35.62,36.32333333
2015-12-14,37.92,35.33,36.31,36.52
2015-12-17,37.06,34.64,34.95,35.55
2015-12-23,37.36,34.6,37.5,36.48666667
2015-12-29,37.79,34.66,37.87,36.77333333
2016-01-06,34.23,28.99,33.97,32.39666667
2016-01-12,30.86,27.33,30.44,29.54333333
2016-01-15,28.94,26.34,29.42,28.23333333
2016-01-18,28.55,26.34,28.94,27.94333333
2016-01-21,29.25,26.02,29.53,28.26666667
2016-01-27,33.1,26.7,32.3,30.7
2016-02-02,32.72,28.47,29.88,30.35666667
2016-02-05,34.06,30.07,30.89,31.67333333
2016-02-08,32.88,30.07,29.69,30.88
2016-02-11,30.06,26.9,26.21,27.72333333
2016-02-17,34.5,29.57,30.66,31.57666667
2016-02-23,33.27,29.29,31.87,31.47666667
2016-02-26,35.1,29.36,32.78,32.41333333
2016-02-29,36.57,32.49,33.75,34.27
2016-03-01,36.81,32.17,34.4,34.46
2016-03-04,38.72,33.64,35.92,36.09333333
2016-03-07,40.84,33.64,37.9,37.46
2016-03-10,40.05,34.59,37.84,37.49333333
2016-03-16,40.33,35.03,38.46,37.94
2016-03-22,41.79,35.77,41.45,39.67
2016-03-28,40.27,35.22,39.39,38.29333333
2016-03-31,40.33,36.35,38.34,38.34
2016-04-06,39.84,35.73,37.75,37.77333333
2016-04-12,44.69,39.03,42.17,41.96333333
2016-04-15,43.1,38.04,40.36,40.5
2016-04-18,42.91,37.94,39.78,40.21
2016-04-21,44.53,38.57,43.18,42.09333333
2016-04-27,47.18,38.96,45.33,43.82333333
2016-05-02,45.83,42.45,44.78,44.35333333
2016-05-05,45.01,41.91,44.32,43.74666667
2016-05-11,47.6,43.67,46.23,45.83333333
2016-05-17,49.28,44.48,48.31,47.35666667
2016-05-20,48.72,44.28,48.41,47.13666667
2016-05-23,48.35,44.15,48.08,46.86
2016-05-26,49.59,44.33,49.48,47.8
2016-06-01,49.72,45.95,49.01,48.22666667
2016-06-07,51.44,47.28,50.36,49.69333333
2016-06-10,50.54,46.96,49.07,48.85666667
2016-06-13,50.35,46.92,48.88,48.71666667
2016-06-16,47.19,45.36,46.21,46.25333333
2016-06-22,49.88,46.38,49.13,48.46333333
2016-06-28,48.58,46.19,47.85,47.54
2016-07-06,48.8,44.73,47.43,46.98666667
2016-07-12,48.47,44.29,46.8,46.52
2016-07-15,47.61,43.67,45.95,45.74333333
2016-07-18,46.96,43.18,45.24,45.12666667
2016-07-21,46.2,43.18,44.75,44.71
2016-07-27,43.47,42.5,41.92,42.63
2016-08-02,41.8,38.68,39.51,39.99666667
2016-08-05,44.27,40.71,41.8,42.26
2016-08-08,45.39,41.61,43.02,43.34
2016-08-11,46.04,41.97,43.49,43.83333333
2016-08-17,49.85,43.9,46.79,46.84666667
2016-08-23,49.96,43.95,48.1,47.33666667
2016-08-26,49.92,43.84,47.64,47.13333333
2016-08-29,49.26,43.74,46.98,46.66
2016-09-01,45.45,41.88,43.16,43.49666667
2016-09-07,47.98,44.11,45.5,45.86333333
2016-09-13,47.1,43.57,44.9,45.19
2016-09-16,45.77,42.92,43.03,43.90666667
2016-09-19,45.95,43.01,43.3,44.08666667
2016-09-22,47.65,43.59,46.32,45.85333333
2016-09-28,48.69,43.38,47.05,46.37333333
2016-10-03,50.89,48,48.81,49.23333333
2016-10-06,52.51,49.41,50.44,50.78666667
2016-10-12,51.81,49.09,50.18,50.36
2016-10-18,51.68,49.06,50.29,50.34333333
2016-10-21,51.78,49.24,50.85,50.62333333
2016-10-24,51.46,49.19,50.52,50.39
2016-10-27,50.47,49.06,49.72,49.75
2016-11-02,46.86,43.62,45.34,45.27333333
2016-11-08,46.04,42.97,44.98,44.66333333
2016-11-11,44.75,42.44,43.41,43.53333333
2016-11-14,44.43,42.33,43.32,43.36
2016-11-17,46.49,43.3,45.42,45.07
2016-11-23,48.95,44.14,47.96,47.01666667
2016-11-29,46.38,43.88,45.23,45.16333333
2016-12-01,53.94,50.85,51.06,51.95
2016-12-07,53,50.35,49.77,51.04
2016-12-13,55.72,52.36,52.98,53.68666667
2016-12-16,55.21,52,51.9,53.03666667
2016-12-19,54.92,51.81,52.12,52.95
2016-12-22,55.05,51.94,52.95,53.31333333
2016-12-28,56.22,52.09,54.06,54.12333333
2017-01-05,56.89,54.76,53.76,55.13666667
2017-01-11,55.1,53.37,52.25,53.57333333
2017-01-17,55.47,53.68,52.48,53.87666667
2017-01-20,55.49,53.74,52.42,53.88333333
2017-01-23,55.23,53.64,52.75,53.87333333
2017-01-26,56.24,53.8,53.78,54.60666667
2017-02-01,56.8,54.43,53.88,55.03666667
2017-02-07,55.05,53.89,52.17,53.70333333
2017-02-10,56.7,54.59,53.86,55.05
2017-02-13,55.59,54.02,52.93,54.18
2017-02-16,55.65,54.12,53.36,54.37666667
2017-02-22,55.84,54.27,53.59,54.56666667
2017-02-28,55.59,54.44,54.01,54.68
2017-03-03,55.9,54.34,53.33,54.52333333
2017-03-06,56.01,54.32,53.2,54.51
2017-03-09,52.19,51.81,49.28,51.09333333
2017-03-15,51.81,51.38,48.86,50.68333333
2017-03-21,50.96,51.09,47.34,49.79666667
2017-03-24,50.8,50.96,47.97,49.91
2017-03-27,50.75,51,47.73,49.82666667
2017-03-30,52.96,51.22,50.35,51.51
2017-04-05,54.36,52.5,51.15,52.67
2017-04-11,56.23,54.07,53.4,54.56666667
2017-04-17,55.36,53.42,52.65,53.81
2017-04-20,52.99,52.57,50.27,51.94333333
2017-04-26,51.82,52.35,49.62,51.26333333
2017-05-01,51.52,50.69,48.84,50.35
2017-05-04,48.38,47.66,45.52,47.18666667
2017-05-10,50.22,49.16,47.33,48.90333333
2017-05-16,51.65,50.03,48.66,50.11333333
