,Foreign oil,korea oil,Foreign oil_1,Foreign oil_2,Foreign oil_3,Foreign oil_4,Foreign oil_5,Foreign oil_6,Foreign oil_7,Foreign oil_8,Foreign oil_9,Foreign oil_10,Foreign oil_11,Foreign oil_12,Foreign oil_13,Foreign oil_14,Foreign oil_15,Foreign oil_16,Foreign oil_17,Foreign oil_18,Foreign oil_19,Foreign oil_20,Foreign oil_21,Foreign oil_22,Foreign oil_23,Foreign oil_24,Foreign oil_25,Foreign oil_26,Foreign oil_27,Foreign oil_28,Foreign oil_29,Foreign oil_30,Foreign oil_31,Foreign oil_32,Foreign oil_33,Foreign oil_34,Foreign oil_35,Foreign oil_36,Foreign oil_37,Foreign oil_38,Foreign oil_39,Foreign oil_40,Foreign oil_41,Foreign oil_42,Foreign oil_43,Foreign oil_44,Foreign oil_45,Foreign oil_46,Foreign oil_47,Foreign oil_48,Foreign oil_49,Foreign oil_50,korea oil_1,korea oil_2,korea oil_3,korea oil_4,korea oil_5,korea oil_6,korea oil_7,korea oil_8,korea oil_9,korea oil_10,korea oil_11,korea oil_12,korea oil_13,korea oil_14,korea oil_15,korea oil_16,korea oil_17,korea oil_18,korea oil_19,korea oil_20,korea oil_21,korea oil_22,korea oil_23,korea oil_24,korea oil_25,korea oil_26,korea oil_27,korea oil_28,korea oil_29,korea oil_30,korea oil_31,korea oil_32,korea oil_33,korea oil_34,korea oil_35,korea oil_36,korea oil_37,korea oil_38,korea oil_39,korea oil_40,korea oil_41,korea oil_42,korea oil_43,korea oil_44,korea oil_45,korea oil_46,korea oil_47,korea oil_48,korea oil_49,korea oil_50
Foreign oil,1.0,0.9492325220035648,0.9899135917558357,0.9762511217575874,0.9631650397511078,0.9514551965667322,0.9400820453407153,0.9290438061824833,0.9160540587404887,0.9023666005236789,0.8863350927892203,0.86943928728237,0.85246956149881,0.8374201129749328,0.8240077978199933,0.8109932414191279,0.7999057382074436,0.7872738215230243,0.775829063247179,0.7631453679416201,0.7504906463108426,0.7379626455064421,0.7252026816693372,0.7088129689294288,0.6914245751509395,0.6724923117801306,0.6452161211735935,0.6117613769294623,0.5768510535079256,0.5373196213865266,0.5006818769053862,0.4683467160392607,0.43523160155020874,0.40106365742558725,0.3651322517523212,0.3330748482777023,0.3014468473199008,0.2704575282686173,0.24863816257243568,0.23157807568550015,0.21247878782821925,0.19470468589842968,0.1733864550471652,0.14896911462718032,0.12359323068749016,0.10132857624562185,0.08203384510806822,0.06401290288625129,0.059406134683059685,0.0556471460002182,0.04963510854253214,0.04107616003041384,0.9347568414564171,0.9193411579232303,0.9034692201869098,0.8865718386049268,0.8676718141075869,0.8466729178937273,0.824443369453026,0.8010903510042624,0.7770812853158756,0.7533772815050928,0.7303377136324267,0.7073929287847347,0.6845797315915833,0.6609719074608751,0.6364921194791747,0.6107373512706947,0.5834218231972919,0.5541453190404098,0.5228376288107973,0.4897678301859804,0.4554268971680655,0.4202075384284574,0.3848876155562554,0.35089644389292984,0.3197571933580785,0.2913986763553527,0.2656221586575824,0.24215456074849806,0.21923906882413444,0.19678958720208944,0.17484309249197502,0.15513544658882186,0.13785670439058323,0.12273582487613297,0.10946740089606344,0.09725314685898218,0.08410733696810829,0.06944212365579967,0.054047246283078804,0.03787592670170212,0.022697075131403188,0.009696726728436467,0.0006817723012254117,-0.004675249153588649,-0.004680435082449394,-0.0010957564413835393,0.0011722411311987989,0.0004925249596376771,-0.00828840042808052,-0.025809720353512245
korea oil,0.9492325220035648,1.0,0.9627279490089432,0.9712693068609273,0.9749948100425622,0.9738169053289204,0.9691961845811247,0.9623016562622635,0.9537955361973028,0.9437715902412512,0.9329002175809686,0.9209455218573386,0.9083509962516804,0.8965774989300697,0.8834946038569331,0.8688789008868659,0.8541529204021632,0.8400837727573442,0.8266140789108223,0.8127618210049748,0.7980803803429641,0.7847783330432564,0.7699059800900518,0.7529144990459244,0.7346604036342456,0.7155242841967182,0.6927017330328878,0.6679307806283992,0.6432677541075787,0.6167874666080767,0.5903583256436353,0.5645448976661241,0.5363318621932976,0.5055364940246324,0.473736136615394,0.4491472457164302,0.42460431293848994,0.39449133699325006,0.36679898856792065,0.33990030562984896,0.3111022839327658,0.2781228845760294,0.24184405985879184,0.2040099719013458,0.16491328256266682,0.12653336101320029,0.09398278423998939,0.06290117447211165,0.0406674708018251,0.022577751174387012,0.001675764951805553,-0.01950491190545864,0.9974896302816656,0.9902627162487144,0.9789456423296968,0.9642701787805239,0.946893042574528,0.9275269291568131,0.9063744406074324,0.8837557736107606,0.8598380157396107,0.8347077176230329,0.8088517146303196,0.7823897859100205,0.7556254994340817,0.7286233670890978,0.7014172054102378,0.6737245237291687,0.644893641828305,0.6140737639861109,0.5817134803151792,0.548159663473674,0.5134881580360668,0.4779711324475027,0.44235393388353017,0.4078541901073982,0.37649322727834494,0.3485355473567752,0.3233320848311665,0.3007641118228188,0.2795591483731155,0.25914809355227997,0.23894305564770874,0.2194056682379885,0.20010241171590384,0.1797518051155913,0.15817082298925678,0.13563755683531448,0.11199583158097946,0.087052966024272,0.06136116718511301,0.03525078165968805,0.009815721966537327,-0.014133922525897413,-0.03521053946995862,-0.05346811670012262,-0.06772890820585287,-0.07852175581697088,-0.08883321671025894,-0.10029783555876033,-0.11538463592784731,-0.13323158194936002
Foreign oil_1,0.9899135917558357,0.9627279490089432,1.0,0.9901096128482811,0.976376239696277,0.9632533574645956,0.9523583815139366,0.9399711449148748,0.9262644584893159,0.9126533300716291,0.8990201395597475,0.8820543853664449,0.8636680708121572,0.8485177894161748,0.8334613947133243,0.8190212706982671,0.8064614006977371,0.7937105479518745,0.7834053767427951,0.7725478837665551,0.7573826416677173,0.7436850506582549,0.7288852523186292,0.7117835805327279,0.6938458608189675,0.6751391582954384,0.6495585195944519,0.6186374555923012,0.5834967782259066,0.5460485856894726,0.5078023583254705,0.47217460179337345,0.4357033097278602,0.4017953024109282,0.3663501349062396,0.33979289271769664,0.30993751972210354,0.27559568229676557,0.2502771532038198,0.23025958797776538,0.21184569474544748,0.1935393168690405,0.1715315000815679,0.14713710366685412,0.12276672410076385,0.0969399102062,0.07920385264965045,0.06006015419034271,0.054480999764420175,0.05056250681885487,0.043664271493353564,0.03453639838773645,0.9496068904078654,0.934121076964845,0.9176790043774121,0.9004891427051388,0.8817010049081334,0.8611370330928333,0.8387025712016475,0.8148185866834563,0.7899492906438429,0.7647740324164782,0.7405355323124427,0.7166759283627386,0.6929228061467808,0.6689642253005443,0.6442328694200967,0.6186041876445478,0.5908924670913472,0.5603251107125218,0.5283659261139569,0.49494302100429466,0.4597291768360961,0.4233437887291128,0.38651052610391046,0.35010631238549705,0.31666083016888485,0.28677281466640736,0.259850403076532,0.23599557089187548,0.21387817556616412,0.19251943546047334,0.17180821159462004,0.15299145980150877,0.1361634971542665,0.11987904443472136,0.10483368489528912,0.09142513022162865,0.07839276174409178,0.06433308329058257,0.04923876077188589,0.033332875611475465,0.018196420751529267,0.005200828167303209,-0.003915211293530521,-0.009510470221475604,-0.010047191341520335,-0.006748878477514991,-0.005396523293598939,-0.007650840927191161,-0.017159705545247813,-0.03316130885071373
Foreign oil_2,0.9762511217575874,0.9712693068609273,0.9901096128482811,1.0,0.9899012319026049,0.975876991273,0.9631943535793618,0.9514928724530022,0.9370962575959122,0.9227874257979413,0.9091937223279508,0.8946796170051432,0.8765519497683381,0.8600389351779419,0.8445606422496207,0.8282179251281869,0.8139549913912817,0.7998671728744604,0.7887457443019913,0.7786461102662239,0.7654866946502773,0.749725685612768,0.7336169474922873,0.714679042343564,0.695698982884382,0.6760757354227012,0.6508880649889257,0.6218448667440556,0.5897067804341841,0.5521060385794254,0.5156642198681461,0.478464218197428,0.4394043761777815,0.4016199648161704,0.36671544521346183,0.3407394013146687,0.31638809245621397,0.28338192183290956,0.25413354544128064,0.230456666976103,0.2091453523586259,0.19003905393681764,0.16740168700275246,0.1427324248712282,0.11813063868376715,0.09351218779163456,0.0724863015202828,0.055110200016115135,0.047590358990899265,0.04310697643835508,0.03554325150602917,0.025724337439751353,0.9622029314925731,0.9481132239736769,0.9315900834138904,0.9139042509392905,0.8950283659933792,0.8747762261265123,0.8528619413178216,0.8289474643722957,0.8036706550961785,0.7776264099581969,0.7517946016600429,0.726623207661857,0.7018568887632379,0.6769104247640982,0.6517854861480896,0.6258152305540194,0.5982037245566213,0.567296102986189,0.5340323315649423,0.499853893480981,0.4641701769573523,0.42681096194351864,0.3887726687380544,0.35102424348447037,0.3155317656743976,0.2836236680134497,0.25527812810768513,0.23032656586712774,0.20776478927577396,0.18705719665329323,0.16718932569499675,0.14923328393581117,0.13289596385454985,0.11672015269878687,0.10026667531243952,0.08490017731675197,0.07058458853017824,0.056561593185667364,0.04205584666534116,0.02653529513450838,0.011654035632165136,-0.0014104492912712474,-0.010764370526152173,-0.01671988633919101,-0.01786218120306861,-0.015345580508867236,-0.014036322595806103,-0.016762729689940095,-0.02695225486518536,-0.04279353900392326
Foreign oil_3,0.9631650397511078,0.9749948100425622,0.976376239696277,0.9899012319026049,1.0,0.9897256270354765,0.9757547952340258,0.962481083455745,0.9496288433945346,0.934696793622593,0.9202950776939192,0.905955508228699,0.8907240956860988,0.8741800976292932,0.8570208644736678,0.840195782300095,0.8236835903212095,0.8081889815657205,0.7947972156961293,0.783468255359436,0.7715603502151868,0.7582549561087559,0.7402151074386407,0.7205585326985191,0.699579858449986,0.678714746857998,0.6532450629740686,0.6249246927448106,0.5950760657551075,0.5607061026556712,0.5236747830128299,0.4881917454207495,0.44842329517618773,0.40756192162178145,0.3690488382475116,0.3429761370527126,0.31901683331342484,0.2912958389892516,0.2623025065965531,0.23430671247455062,0.2094626725628383,0.18567408271262867,0.16246475861492451,0.13785493295485482,0.11264944261255554,0.08802267948922685,0.06816671122770053,0.04765620865521249,0.0398900586293135,0.03386851775216044,0.02539620610135575,0.015404059284205976,0.9708662791354238,0.9611469852729055,0.9461994460359402,0.9285936731838726,0.9094935810298838,0.8893885025332826,0.8679372811003244,0.8447763360955217,0.8196450429272655,0.7932324210949271,0.7664154221629589,0.7395563108119649,0.713395690589682,0.6874313577653177,0.6613089979282164,0.6349075139249757,0.6070358446355814,0.5764927399247822,0.5430308687974463,0.5075403420429806,0.4710880993963104,0.4332569595073655,0.39426041289297165,0.3554822899757837,0.31890841215037297,0.28510477654850375,0.25471346187439486,0.22822845438577627,0.20439569735675908,0.18296262569654873,0.1633394348824911,0.1455562195397777,0.1293848030352866,0.11321737558383338,0.09658046553206616,0.07958927309779214,0.06325319494015919,0.047907909003398065,0.033443846699644626,0.018654318126049715,0.0040554599211781225,-0.009075123845099644,-0.01912511445558973,-0.02592634758541712,-0.028282723751213917,-0.02695514154618451,-0.02595472153403483,-0.027805564165533043,-0.03664391761536344,-0.051492503792869
Foreign oil_4,0.9514551965667322,0.9738169053289204,0.9632533574645956,0.975876991273,0.9897256270354765,1.0,0.9895166282583941,0.9751364374607157,0.9614276597405498,0.9481289238794276,0.9330114520828128,0.9179368151446701,0.903255290360054,0.889509557746536,0.8720184381986781,0.853357775275959,0.8360601043918386,0.8185070936329756,0.8028719507927745,0.7888265967631812,0.7759957953697668,0.7644105527909698,0.7489456246953412,0.7277539765941937,0.7058453652433069,0.6826846531070886,0.6563806401288108,0.6280151017617145,0.599299110070566,0.567417726859603,0.5333182952312192,0.49718062659596896,0.45992464822318135,0.41787777173048885,0.37648517831467043,0.346405184101488,0.32223013796817784,0.29459823086692377,0.27011460694287587,0.24210746630779365,0.2129748561715887,0.1839957178637394,0.15608601617855675,0.13146753585407922,0.10602975814983594,0.08099244246421985,0.061211654647257314,0.042075003232756265,0.02959644525057856,0.02372749723380471,0.013290794572595117,0.0027427625868740963,0.9743817259995717,0.9698926435127803,0.9595368930452102,0.9436838485270471,0.924908061994168,0.9047821667919848,0.8835960173759853,0.8611066951962439,0.8368968211584935,0.810656327802047,0.7833573314152492,0.7554054184430743,0.7274407941208832,0.7000352192576945,0.6728538309399944,0.6453762782326256,0.6171008469959689,0.5864663379308923,0.5534578410671168,0.5177263845576406,0.4798835898508031,0.44122851084273407,0.4017445823709349,0.3621505950543588,0.32480797441438947,0.29008805315854486,0.2577936435509459,0.22918833666705254,0.20367890527424393,0.18074116691081257,0.1600520293482805,0.14197555700837639,0.12541110280161294,0.10899262626294706,0.09209800596408092,0.07472971005666167,0.05667669700046647,0.03922494706823102,0.023408413747455708,0.008775836293094379,-0.005147312220124123,-0.018227246566777724,-0.028812134155700796,-0.036781739815055926,-0.04064151103909672,-0.04098187347268142,-0.040818064459508634,-0.04227235336703508,-0.04878837139448317,-0.06092878736483227
Foreign oil_5,0.9400820453407153,0.9691961845811247,0.9523583815139366,0.9631943535793618,0.9757547952340258,0.9895166282583941,1.0,0.9892266810292482,0.9744941374981667,0.9602814890655534,0.9468455143840673,0.9309695885447301,0.915593879203447,0.9026424611491423,0.8878682226780387,0.8686536511419826,0.849396696972216,0.8309593998308025,0.813086887101176,0.7965763558105176,0.7807770597653506,0.7684702335293093,0.754518446510239,0.7357846429150587,0.7120300405618099,0.6876373309722544,0.6586556509693502,0.6293491617485675,0.6007845713428774,0.5700125878548613,0.5384166400221154,0.5053831015341499,0.46752975033056116,0.42779386174830497,0.3852009289371812,0.3527115281833982,0.3245731572987056,0.29642112089017814,0.2721582448613296,0.24880351359609099,0.2195785749195342,0.1858065786305055,0.15226375501038605,0.12278309954001264,0.09725414996390903,0.07202398644259808,0.05218684091195171,0.03319210724364077,0.022617659333187618,0.012092374342915511,0.001461860749913853,-0.011233874350678746,0.9728950666688726,0.9731194151879647,0.96805799828892,0.9569172523853066,0.9399535230601402,0.9201792217787509,0.8989344101200227,0.8767226027438062,0.8531876781811472,0.8278338698166298,0.8006424732970744,0.7721079753272974,0.7429395188829078,0.713602496296569,0.6848652939842235,0.6562036032527351,0.6267074752147024,0.5955099792296178,0.5622680210023179,0.5268492618478898,0.4886002988524941,0.44837848549906584,0.40795359493579836,0.36786251662936736,0.32983188922667417,0.2944671399844699,0.26132497719199765,0.23088472945489186,0.2032618533356458,0.17864566574271287,0.15643308671494185,0.1373163213420542,0.12048198804415444,0.1036089391674298,0.08638363844836935,0.06868360974262579,0.05016171255431793,0.030871113887741077,0.012867470401121971,-0.0031514949466131398,-0.01686200241093623,-0.029164764416771394,-0.03954465882252581,-0.047932191678965994,-0.05278938856861008,-0.05451741227388019,-0.05613249551848385,-0.05860399280587159,-0.06497731102514963,-0.07489184574886376
Foreign oil_6,0.9290438061824833,0.9623016562622635,0.9399711449148748,0.9514928724530022,0.962481083455745,0.9751364374607157,0.9892266810292482,1.0,0.9889545734342988,0.9737413750053032,0.9593344174273837,0.9452720152224269,0.9290586399370178,0.9150878262999536,0.9012276749992916,0.8850314245668841,0.865246158386431,0.8449279379580585,0.8261552197202073,0.8074594371022553,0.7893702432010208,0.7738404771604205,0.7594187874486052,0.7425077346509397,0.7215311357155467,0.6954763664666653,0.6655808323360326,0.6336161195669184,0.6039523182569074,0.5734043750623905,0.5429256017467293,0.5123338058179109,0.4776247880762931,0.4374577753981083,0.39719065721562974,0.36294959952762423,0.33223861280864664,0.3002904373590095,0.2752230940266567,0.2519930392832601,0.2275991287743771,0.19389114902315965,0.15572186595412787,0.12061265855813168,0.09010200936230986,0.06480492643804052,0.044484077791144695,0.025429939614236743,0.014224761737177821,0.005602340051998022,-0.009579179066089842,-0.022273801873781217,0.9683391592153416,0.9719396566352361,0.9718698429924436,0.9662479179939522,0.9541610870784143,0.9362357041426378,0.9153919319462347,0.8931108815415919,0.8698692478826369,0.8452547069099626,0.8190200800605795,0.7906671827003086,0.760965054492474,0.7304587474089393,0.6998025086749039,0.6696265198855015,0.6390253698714518,0.6067285718216487,0.5730388419254699,0.5375066685898604,0.49970709038973693,0.4591859633775385,0.41723535431617703,0.37617946797030094,0.33752258191163087,0.30134499938640347,0.2674703399480608,0.23607874543566038,0.2065520347633694,0.17974259973557435,0.1557648563638655,0.13494922495128003,0.11690665930869383,0.09971773397212012,0.08204075784614576,0.0640262335446212,0.04523003884991557,0.025531257493686132,0.005689679476399586,-0.012515670225472769,-0.02769608679761698,-0.0399158382387751,-0.04974510726693759,-0.05813028464402831,-0.06369496535813565,-0.06662027126114098,-0.06952139486815989,-0.07353935911638393,-0.08036774498489611,-0.08957587849412736
Foreign oil_7,0.9160540587404887,0.9537955361973028,0.9262644584893159,0.9370962575959122,0.9496288433945346,0.9614276597405498,0.9744941374981667,0.9889545734342988,1.0,0.9886963697473171,0.9731779553186539,0.9583767345847489,0.9440080447878658,0.9283436950391308,0.9137122365432545,0.8990740181664464,0.88246170378952,0.8619736582770086,0.841246268165191,0.8219226139938051,0.802302447261053,0.7839724413748492,0.7670295850415717,0.7504132996430425,0.7319852026169426,0.7094787750864482,0.67893832584404,0.6463595734245049,0.6135851748386542,0.5821171133138116,0.5518038240525229,0.5220012701658721,0.48981825762636655,0.4533216373838822,0.4126033580936958,0.3791364565977022,0.3462903297900849,0.3124173395516058,0.2826851132650623,0.2583401707068108,0.23432074947684425,0.2058953107590536,0.16868358141020873,0.12928244526442997,0.09306349431315222,0.06270416525009034,0.04142457583095323,0.021843353920640744,0.008303341962541113,-0.001100908757779795,-0.013693180312589186,-0.030435408178671713,0.9618498064164689,0.9682791836144812,0.9720359406871366,0.9716981070425836,0.9653593979617243,0.9524401386203573,0.9336295035225934,0.911780552037928,0.8885296013699643,0.8643647225488609,0.8390193106436337,0.8118479910561395,0.7825182435135977,0.7516682426005543,0.7200090289805093,0.688110981654343,0.656291851257901,0.6233347331292354,0.5889185315809649,0.5533055199407498,0.5157786629809638,0.4760679672603974,0.43404694600538873,0.3914529019693693,0.3514969565575075,0.3143663327649876,0.27944226341892486,0.2470360112164774,0.21640469837794446,0.1875128792652324,0.1611362977113766,0.13810507567598818,0.11791989233698699,0.0993983206131219,0.08144341919985705,0.06304264128585989,0.044116953273198055,0.02434730730456689,0.0042005422788597745,-0.015759209415887338,-0.03333341813493771,-0.04743476378283694,-0.05788349882650233,-0.06632052143611199,-0.07273985231528117,-0.07695934828080067,-0.08067610885555944,-0.08518428358356117,-0.09193872086604592,-0.1001742739729127
Foreign oil_8,0.9023666005236789,0.9437715902412512,0.9126533300716291,0.9227874257979413,0.934696793622593,0.9481289238794276,0.9602814890655534,0.9737413750053032,0.9886963697473171,1.0,0.988450746055437,0.9725693310943038,0.9574755643662082,0.9435186436360256,0.9271841530884737,0.9118634355443578,0.896829838802078,0.8796733383335734,0.8586997402772242,0.8373975190921424,0.8172993762268503,0.7973351498870163,0.7776707883938534,0.7586387646072866,0.7406108559752326,0.7208293966562501,0.694153566150678,0.6609597570414315,0.6274844134114522,0.5928661627749621,0.561577140409155,0.5318792641309114,0.5005480028755206,0.4666565630883925,0.42964899311616284,0.39546247231729753,0.3633302986508531,0.3273770108972697,0.29550480879993,0.26633969460415857,0.24123480559092117,0.21309573463035716,0.18145667555973774,0.14313146841933147,0.10250339708573096,0.06632034083948146,0.03974560088154927,0.019208653364881336,0.004606533143305682,-0.00714162010290166,-0.02049364056784288,-0.03446368459384092,0.953048153769287,0.9616275616618254,0.9683620986018832,0.972013202256166,0.9711602791477593,0.9641708076227197,0.950531533393183,0.9307774758110575,0.9079820380610384,0.8838303170269306,0.8589573640452746,0.832721768826866,0.8046233936959599,0.7741804410071359,0.7421927324728689,0.7092998014060468,0.6757684610261528,0.6416415960135671,0.6066080286711188,0.5703026235393525,0.5327418443493465,0.4933492174431798,0.4521716231644957,0.409487124402726,0.3679095222802447,0.3294123019125709,0.2934856940715777,0.2599729397527363,0.22828517714917398,0.19823752539646797,0.16970475983174335,0.14413548937597098,0.12158427013852895,0.10082631424261267,0.0814939222518419,0.06280018640992582,0.04350341153689664,0.023627229619213104,0.0034232856093666247,-0.016816328728402278,-0.036206466590955055,-0.05282614960526861,-0.06534965643146871,-0.07456252329590708,-0.08123445500357723,-0.08645200616395135,-0.09138600116236711,-0.09652400778363869,-0.10333938421681543,-0.11106517909394781
